order,family,scientific,en,zh-hans,zh-hant,ja
STRUTHIONIFORMES,Struthionidae,Struthio camelus,Common Ostrich,非洲鸵鸟,鴕鳥,ダチョウ
STRUTHIONIFORMES,Struthionidae,Struthio molybdophanes,Somali Ostrich,灰颈鸵鸟,索馬利亞鴕鳥,ソマリダチョウ
RHEIFORMES,Rheidae,Rhea americana,Greater Rhea,大美洲鸵,大美洲鴕,レア
RHEIFORMES,Rheidae,Rhea pennata,Lesser Rhea,小美洲鸵,小美洲鴕,ダーウィンレア
APTERYGIFORMES,Apterygidae,Apteryx australis,Southern Brown Kiwi,褐几维,南方褐鷸鴕,キーウィ
APTERYGIFORMES,Apterygidae,Apteryx mantelli,North Island Brown Kiwi,北岛褐几维,北島褐鷸鴕,キタキーウィ
APTERYGIFORMES,Apterygidae,Apteryx rowi,Okarito Kiwi,白眶几维,奧卡里多褐鷸鴕,オカリトキーウィ
APTERYGIFORMES,Apterygidae,Apteryx owenii,Little Spotted Kiwi,小斑几维,小斑鷸鴕,コマダラキーウィ
APTERYGIFORMES,Apterygidae,Apteryx haastii,Great Spotted Kiwi,大斑几维,大斑鷸鴕,オオマダラキーウィ
CASUARIIFORMES,Casuariidae,Casuarius casuarius,Southern Cassowary,双垂鹤鸵,雙垂鶴鴕,ヒクイドリ
CASUARIIFORMES,Casuariidae,Casuarius bennetti,Dwarf Cassowary,侏鹤鸵,侏鶴鴕,コヒクイドリ
CASUARIIFORMES,Casuariidae,Casuarius unappendiculatus,Northern Cassowary,单垂鹤鸵,單垂鶴鴕,パプアヒクイドリ
CASUARIIFORMES,Casuariidae,Dromaius novaehollandiae,Emu,鸸鹋,鴯鶓,エミュー
TINAMIFORMES,Tinamidae,Tinamus tao,Grey Tinamou,灰䳍,灰(共鳥),ハイイロシギダチョウ
TINAMIFORMES,Tinamidae,Tinamus solitarius,Solitary Tinamou,孤䳍,孤(共鳥),オバシギダチョウ
TINAMIFORMES,Tinamidae,Tinamus osgoodi,Black Tinamou,黑䳍,黑(共鳥),クロシギダチョウ
TINAMIFORMES,Tinamidae,Tinamus major,Great Tinamou,大䳍,大(共鳥),オオシギダチョウ
TINAMIFORMES,Tinamidae,Tinamus guttatus,White-throated Tinamou,白喉䳍,白喉(共鳥),ノドジロシギダチョウ
TINAMIFORMES,Tinamidae,Nothocercus bonapartei,Highland Tinamou,黑头林䳍,高原林(共鳥),タカネシギダチョウ
TINAMIFORMES,Tinamidae,Nothocercus julius,Tawny-breasted Tinamou,红头林䳍,茶胸林(共鳥),チャバラシギダチョウ
TINAMIFORMES,Tinamidae,Nothocercus nigrocapillus,Hooded Tinamou,灰头白喉林䳍,冠林(共鳥),コモンシギダチョウ
TINAMIFORMES,Tinamidae,Crypturellus berlepschi,Berlepsch's Tinamou,伯氏穴䳍,巴勒氏穴(共鳥),ススグロシギダチョウ
TINAMIFORMES,Tinamidae,Crypturellus cinereus,Cinereous Tinamou,灰穴䳍,灰穴(共鳥),ムジシギダチョウ
TINAMIFORMES,Tinamidae,Crypturellus soui,Little Tinamou,小穴䳍,小穴(共鳥),コシギダチョウ
TINAMIFORMES,Tinamidae,Crypturellus ptaritepui,Tepui Tinamou,灰喉穴䳍,灰喉穴(共鳥),メジロシギダチョウ
TINAMIFORMES,Tinamidae,Crypturellus obsoletus,Brown Tinamou,褐穴䳍,褐穴(共鳥),チャイロシギダチョウ
TINAMIFORMES,Tinamidae,Crypturellus undulatus,Undulated Tinamou,波斑穴䳍,波斑穴(共鳥),シロハラシギダチョウ
TINAMIFORMES,Tinamidae,Crypturellus transfasciatus,Pale-browed Tinamou,淡眉穴䳍,蒼眉穴(共鳥),マミジロシギダチョウ
TINAMIFORMES,Tinamidae,Crypturellus strigulosus,Brazilian Tinamou,巴西穴䳍,巴西穴(共鳥),ブラジルシギダチョウ
TINAMIFORMES,Tinamidae,Crypturellus duidae,Grey-legged Tinamou,灰腿穴䳍,灰足穴(共鳥),アオアシシギダチョウ
TINAMIFORMES,Tinamidae,Crypturellus erythropus,Red-legged Tinamou,红脚穴䳍,紅足穴(共鳥),アカアシシギダチョウ
TINAMIFORMES,Tinamidae,Crypturellus noctivagus,Yellow-legged Tinamou,黄腿穴䳍,黃足穴(共鳥),キアシシギダチョウ
TINAMIFORMES,Tinamidae,Crypturellus atrocapillus,Black-capped Tinamou,黑顶穴䳍,黑頂穴(共鳥),ズグロシギダチョウ
TINAMIFORMES,Tinamidae,Crypturellus cinnamomeus,Thicket Tinamou,棕穴䳍,棕穴(共鳥),ヤブシギダチョウ
TINAMIFORMES,Tinamidae,Crypturellus boucardi,Slaty-breasted Tinamou,灰胸穴䳍,灰胸穴(共鳥),モリシギダチョウ
